line,fromid,fromlat,fromlon,toid,tolat,tolon,color
A,Estadio do Dragao,41.160716,-8.582416,Campanha,41.150537,-8.586245,199FDA
A,Campanha,41.150537,-8.586245,Heroismo,41.146697,-8.592978,199FDA
A,Heroismo,41.146697,-8.592978,24 de Agosto,41.148796,-8.598349,199FDA
A,24 de Agosto,41.148796,-8.598349,Bolhao,41.149785,-8.605901,199FDA
A,Bolhao,41.149785,-8.605901,Trindade,41.152277,-8.609299,199FDA
A,Trindade,41.152277,-8.609299,Lapa,41.157107,-8.616723,199FDA
A,Lapa,41.157107,-8.616723,Carolina Michaelis,41.158585,-8.622246,199FDA
A,Carolina Michaelis,41.158585,-8.622246,Casa da Musica,41.160575,-8.628282,199FDA
A,Casa da Musica,41.160575,-8.628282,Francos,41.165549,-8.636347,199FDA
A,Francos,41.165549,-8.636347,Ramalde,41.172962,-8.641766,199FDA
A,Ramalde,41.172962,-8.641766,Via Rapida Viso,41.177255,-8.646498,199FDA
A,Via Rapida Viso,41.177255,-8.646498,Sete Bicas,41.182422,-8.652149,199FDA
A,Sete Bicas,41.182422,-8.652149,Senhora da Hora,41.188101,-8.654466,199FDA
A,Senhora da Hora,41.188101,-8.654466,Vasco da Gama,41.190237,-8.661037,199FDA
A,Vasco da Gama,41.190237,-8.661037,Estadio do Mar,41.185769,-8.661189,199FDA
A,Estadio do Mar,41.185769,-8.661189,Hospital Pedro Hispano,41.180381,-8.666232,199FDA
A,Hospital Pedro Hispano,41.180381,-8.666232,Parque de Real,41.179107,-8.673546,199FDA
A,Parque de Real,41.179107,-8.673546,Camara de Matosinhos,41.180698,-8.681227,199FDA
A,Camara de Matosinhos,41.180698,-8.681227,Matosinhos Sul,41.180171,-8.688553,199FDA
A,Matosinhos Sul,41.180171,-8.688553,Brito Capelo,41.183908,-8.691469,199FDA
A,Brito Capelo,41.183908,-8.691469,Mercado,41.187484,-8.693391,199FDA
A,Mercado,41.187484,-8.693391,Senhor de Matosinhos,41.188205,-8.685123,199FDA
B,Estadio do Dragao,41.160716,-8.582416,Campanha,41.150537,-8.586245,C63920
B,Campanha,41.150537,-8.586245,Heroismo,41.146697,-8.592978,C63920
B,Heroismo,41.146697,-8.592978,24 de Agosto,41.148796,-8.598349,C63920
B,24 de Agosto,41.148796,-8.598349,Bolhao,41.149785,-8.605901,C63920
B,Bolhao,41.149785,-8.605901,Trindade,41.152277,-8.609299,C63920
B,Trindade,41.152277,-8.609299,Lapa,41.157107,-8.616723,C63920
B,Lapa,41.157107,-8.616723,Carolina Michaelis,41.158585,-8.622246,C63920
B,Carolina Michaelis,41.158585,-8.622246,Casa da Musica,41.160575,-8.628282,C63920
B,Casa da Musica,41.160575,-8.628282,Francos,41.165549,-8.636347,C63920
B,Francos,41.165549,-8.636347,Ramalde,41.172962,-8.641766,C63920
B,Ramalde,41.172962,-8.641766,Via Rapida Viso,41.177255,-8.646498,C63920
B,Via Rapida Viso,41.177255,-8.646498,Sete Bicas,41.182422,-8.652149,C63920
B,Sete Bicas,41.182422,-8.652149,Senhora da Hora,41.188101,-8.654466,C63920
B,Senhora da Hora,41.188101,-8.654466,Fonte do Cuco,41.194161,-8.655771,C63920
B,Fonte do Cuco,41.194161,-8.655771,Custoias,41.200294,-8.655559,C63920
B,Custoias,41.200294,-8.655559,Esposade,41.216067,-8.654541,C63920
B,Esposade,41.216067,-8.654541,Crestins,41.233013,-8.656593,C63920
B,Crestins,41.233013,-8.656593,Verdes,41.238246,-8.658212,C63920
B,Verdes,41.238246,-8.658212,Pedras Rubras,41.246233,-8.661807,C63920
B,Pedras Rubras,41.246233,-8.661807,Lidador,41.254953,-8.668018,C63920
B,Lidador,41.254953,-8.668018,Vilar Pinheiro,41.270297,-8.679515,C63920
B,Vilar Pinheiro,41.270297,-8.679515,Modivas Sul,41.285251,-8.693703,C63920
B,Modivas Sul,41.285251,-8.693703,Modivas Centro,41.293684,-8.699238,C63920
B,Modivas Centro,41.293684,-8.699238,VC Fashion Outlet Modivas,41.300492,-8.704004,C63920
B,VC Fashion Outlet Modivas,41.300492,-8.704004,Mindelo,41.315077,-8.714209,C63920
B,Mindelo,41.315077,-8.714209,Espaco Natureza,41.321222,-8.718681,C63920
B,Espaco Natureza,41.321222,-8.718681,Varziela,41.334225,-8.720721,C63920
B,Varziela,41.334225,-8.720721,Arvore,41.340402,-8.725555,C63920
B,Arvore,41.340402,-8.725555,Azurara,41.345965,-8.728122,C63920
B,Azurara,41.345965,-8.728122,Santa Clara,41.353983,-8.735826,C63920
B,Santa Clara,41.353983,-8.735826,Vila do Conde,41.359096,-8.73987,C63920
B,Vila do Conde,41.359096,-8.73987,Alto de Pega,41.364643,-8.745225,C63920
B,Alto de Pega,41.364643,-8.745225,Portas Fronhas,41.368953,-8.749558,C63920
B,Portas Fronhas,41.368953,-8.749558,Sao Bras,41.373456,-8.754122,C63920
B,Sao Bras,41.373456,-8.754122,Povoa de Varzim,41.378126,-8.758081,C63920
C,Campanha,41.150537,-8.586245,Heroismo,41.146697,-8.592978,A3BE31
C,Heroismo,41.146697,-8.592978,24 de Agosto,41.148796,-8.598349,A3BE31
C,24 de Agosto,41.148796,-8.598349,Bolhao,41.149785,-8.605901,A3BE31
C,Bolhao,41.149785,-8.605901,Trindade,41.152277,-8.609299,A3BE31
C,Trindade,41.152277,-8.609299,Lapa,41.157107,-8.616723,A3BE31
C,Lapa,41.157107,-8.616723,Carolina Michaelis,41.158585,-8.622246,A3BE31
C,Carolina Michaelis,41.158585,-8.622246,Casa da Musica,41.160575,-8.628282,A3BE31
C,Casa da Musica,41.160575,-8.628282,Francos,41.165549,-8.636347,A3BE31
C,Francos,41.165549,-8.636347,Ramalde,41.172962,-8.641766,A3BE31
C,Ramalde,41.172962,-8.641766,Via Rapida Viso,41.177255,-8.646498,A3BE31
C,Via Rapida Viso,41.177255,-8.646498,Sete Bicas,41.182422,-8.652149,A3BE31
C,Sete Bicas,41.182422,-8.652149,Senhora da Hora,41.188101,-8.654466,A3BE31
C,Senhora da Hora,41.188101,-8.654466,Fonte do Cuco,41.194161,-8.655771,A3BE31
C,Fonte do Cuco,41.194161,-8.655771,Candido dos Reis,41.200698,-8.649703,A3BE31
C,Candido dos Reis,41.200698,-8.649703,Pias,41.208234,-8.647122,A3BE31
C,Pias,41.208234,-8.647122,Araujo,41.216907,-8.640978,A3BE31
C,Araujo,41.216907,-8.640978,Custio,41.222341,-8.638996,A3BE31
C,Custio,41.222341,-8.638996,Parque da Maia,41.229019,-8.626897,A3BE31
C,Parque da Maia,41.229019,-8.626897,Forum Maia,41.234634,-8.623937,A3BE31
C,Forum Maia,41.234634,-8.623937,Zona Industrial,41.243968,-8.628555,A3BE31
C,Zona Industrial,41.243968,-8.628555,Mandim,41.253577,-8.628308,A3BE31
C,Mandim,41.253577,-8.628308,Castelo da Maia,41.262749,-8.616986,A3BE31
C,Castelo da Maia,41.262749,-8.616986,ISMAI,41.268905,-8.615387,A3BE31
D,Santo Ovidio,41.115548,-8.606555,Dom Joao II,41.11966,-8.60623,EBBC14
D,Dom Joao II,41.11966,-8.60623,Joao de Deus,41.126058,-8.605627,EBBC14
D,Joao de Deus,41.126058,-8.605627,Camara de Gaia,41.129666,-8.606116,EBBC14
D,Camara de Gaia,41.129666,-8.606116,General Torres,41.133871,-8.607489,EBBC14
D,General Torres,41.133871,-8.607489,Jardim do Morro,41.137639,-8.608646,EBBC14
D,Jardim do Morro,41.137639,-8.608646,Sao Bento,41.144938,-8.610815,EBBC14
D,Sao Bento,41.144938,-8.610815,Aliados,41.148581,-8.610945,EBBC14
D,Aliados,41.148581,-8.610945,Trindade,41.152277,-8.609299,EBBC14
D,Trindade,41.152277,-8.609299,Faria Guimaraes,41.157219,-8.609141,EBBC14
D,Faria Guimaraes,41.157219,-8.609141,Marques,41.161123,-8.604272,EBBC14
D,Marques,41.161123,-8.604272,Combatentes,41.165301,-8.598464,EBBC14
D,Combatentes,41.165301,-8.598464,Salgueiros,41.169684,-8.598744,EBBC14
D,Salgueiros,41.169684,-8.598744,Polo Universitario,41.174247,-8.603607,EBBC14
D,Polo Universitario,41.174247,-8.603607,I.P.O.,41.181253,-8.604521,EBBC14
D,I.P.O.,41.181253,-8.604521,Hospital de Sao Joao,41.18326,-8.60224,EBBC14
E,Estadio do Dragao,41.160716,-8.582416,Campanha,41.150537,-8.586245,736EB0
E,Campanha,41.150537,-8.586245,Heroismo,41.146697,-8.592978,736EB0
E,Heroismo,41.146697,-8.592978,24 de Agosto,41.148796,-8.598349,736EB0
E,24 de Agosto,41.148796,-8.598349,Bolhao,41.149785,-8.605901,736EB0
E,Bolhao,41.149785,-8.605901,Trindade,41.152277,-8.609299,736EB0
E,Trindade,41.152277,-8.609299,Lapa,41.157107,-8.616723,736EB0
E,Lapa,41.157107,-8.616723,Carolina Michaelis,41.158585,-8.622246,736EB0
E,Carolina Michaelis,41.158585,-8.622246,Casa da Musica,41.160575,-8.628282,736EB0
E,Casa da Musica,41.160575,-8.628282,Francos,41.165549,-8.636347,736EB0
E,Francos,41.165549,-8.636347,Ramalde,41.172962,-8.641766,736EB0
E,Ramalde,41.172962,-8.641766,Via Rapida Viso,41.177255,-8.646498,736EB0
E,Via Rapida Viso,41.177255,-8.646498,Sete Bicas,41.182422,-8.652149,736EB0
E,Sete Bicas,41.182422,-8.652149,Senhora da Hora,41.188101,-8.654466,736EB0
E,Senhora da Hora,41.188101,-8.654466,Fonte do Cuco,41.194161,-8.655771,736EB0
E,Fonte do Cuco,41.194161,-8.655771,Custoias,41.200294,-8.655559,736EB0
E,Custoias,41.200294,-8.655559,Esposade,41.216067,-8.654541,736EB0
E,Esposade,41.216067,-8.654541,Crestins,41.233013,-8.656593,736EB0
E,Crestins,41.233013,-8.656593,Verdes,41.238246,-8.658212,736EB0
E,Verdes,41.238246,-8.658212,Botica,41.237524,-8.665208,736EB0
E,Botica,41.237524,-8.665208,Aeroporto,41.237077,-8.669442,736EB0
F,Fanzeres,41.1713,-8.542938,Venda Nova,41.175157,-8.541962,EE731C
F,Venda Nova,41.175157,-8.541962,Carreira,41.179825,-8.543604,EE731C
F,Carreira,41.179825,-8.543604,Baguim,41.18557,-8.545892,EE731C
F,Baguim,41.18557,-8.545892,Campainha,41.183452,-8.553955,EE731C
F,Campainha,41.183452,-8.553955,Rio Tinto,41.179422,-8.560264,EE731C
F,Rio Tinto,41.179422,-8.560264,Levada,41.175758,-8.56212,EE731C
F,Levada,41.175758,-8.56212,Nau Vitoria,41.174122,-8.573534,EE731C
F,Nau Vitoria,41.174122,-8.573534,Nasoni,41.170767,-8.577317,EE731C
F,Nasoni,41.170767,-8.577317,Contumil,41.165712,-8.578639,EE731C
F,Contumil,41.165712,-8.578639,Estadio do Dragao,41.160716,-8.582416,EE731C
F,Estadio do Dragao,41.160716,-8.582416,Campanha,41.150537,-8.586245,EE731C
F,Campanha,41.150537,-8.586245,Heroismo,41.146697,-8.592978,EE731C
F,Heroismo,41.146697,-8.592978,24 de Agosto,41.148796,-8.598349,EE731C
F,24 de Agosto,41.148796,-8.598349,Bolhao,41.149785,-8.605901,EE731C
F,Bolhao,41.149785,-8.605901,Trindade,41.152277,-8.609299,EE731C
F,Trindade,41.152277,-8.609299,Lapa,41.157107,-8.616723,EE731C
F,Lapa,41.157107,-8.616723,Carolina Michaelis,41.158585,-8.622246,EE731C
F,Carolina Michaelis,41.158585,-8.622246,Casa da Musica,41.160575,-8.628282,EE731C
F,Casa da Musica,41.160575,-8.628282,Francos,41.165549,-8.636347,EE731C
F,Francos,41.165549,-8.636347,Ramalde,41.172962,-8.641766,EE731C
F,Ramalde,41.172962,-8.641766,Via Rapida Viso,41.177255,-8.646498,EE731C
F,Via Rapida Viso,41.177255,-8.646498,Sete Bicas,41.182422,-8.652149,EE731C
F,Sete Bicas,41.182422,-8.652149,Senhora da Hora,41.188101,-8.654466,EE731C
